district,zone,variable,Model,R2,CV_R2,RMSE,Gen_Gap,Composite_Score,Status
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),tmax,LightGBM,0.8930476604770324,0.9107458303397443,1.1208567778345015,0.017698169862711888,0.9375142233519744,Robust
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),tmax,CatBoost,0.8894476478173057,0.8982509969303727,1.1395646574563465,0.008803349113067016,0.8603286983398774,Robust
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),tmax,XGBoost,0.8639543302963404,0.8861935837750463,1.2641463041332688,0.022239253478705923,0.4622762981350781,Robust
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),tmax,RandomForest,0.8592204344996801,0.7079378307853157,1.2859520884518174,0.15128260371436442,0.1,Overfit Risk
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),tmin,LightGBM,0.9185773827343146,0.936937741498391,1.3616840301263333,0.01836035876407649,0.7121630225656963,Robust
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),tmin,CatBoost,0.9110729179212113,0.9402956078456404,1.4230522163698271,0.029222689924429113,0.6118460035172437,Robust
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),tmin,RandomForest,0.9365546588567969,0.7520123553529945,1.2019978292915214,0.1845423035038024,0.55,Overfit Risk
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),tmin,XGBoost,0.9001269097226936,0.9447417690094824,1.5080927736362426,0.044614859286788766,0.4184027039594078,Robust
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),dew_point,LightGBM,0.9261963194163353,0.9407458541445972,1.1843511625860872,0.014549534728261926,0.9974560576156076,Robust
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),dew_point,CatBoost,0.9210437980587353,0.942398916029138,1.2249958149026712,0.02135511797040268,0.7915304806665828,Robust
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),dew_point,XGBoost,0.9196540936915023,0.9401551184787993,1.2357293374934342,0.020501024787296984,0.711838806854019,Robust
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),dew_point,RandomForest,0.9143223549841938,0.779948117744292,1.2760721804845063,0.13437423723990183,0.0,Overfit Risk
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,LightGBM,0.9630633688865247,0.9643039478301297,0.8626566184412632,0.0012405789436050751,0.9999999999999999,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,CatBoost,0.9611699570534277,0.9629081309235991,0.8844906636484945,0.001738173870171389,0.9753155529890666,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,XGBoost,0.9567706233961816,0.9628375302055812,0.9332517306375191,0.006066906809399586,0.8521570786656822,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,RandomForest,0.9211418983096523,0.766735724646913,1.2604698928835125,0.15440617366273934,0.0,Overfit Risk
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,RandomForest,0.7030049683354618,0.6820573036451588,3.321078800791201,0.02094766469030296,0.8636982618760823,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,LightGBM,0.6734853562966581,0.701149732332824,3.4822177111828934,0.027664376036165894,0.7201679443689185,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,CatBoost,0.6567903972259728,0.7037741802105473,3.570132245562891,0.04698378298457451,0.5424798853268127,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,XGBoost,0.6213104563004279,0.6158386236317847,3.7501293276378522,0.005471832668643262,0.2,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,LightGBM,0.6929847386429443,0.7758798251349701,19.541351661467683,0.08289508649202582,0.713171714781332,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,CatBoost,0.6862647228900838,0.7288740958784086,19.754056672463836,0.04260937298832479,0.6804529657868821,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,RandomForest,0.707604056606757,0.6443467708047383,19.07042139498895,0.06325728580201861,0.5712761274338998,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,XGBoost,0.6301751342517963,0.6579667761628326,21.44730225303388,0.027791641911036336,0.22588703924547243,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),uv,LightGBM,0.7568906505150228,0.8028797343278651,0.4828625498027566,0.04598908381284228,0.7352043570943544,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),uv,CatBoost,0.7391066618247941,0.740035587904785,0.5002120937972184,0.0009289260799908439,0.6284663403751882,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),uv,RandomForest,0.731404259275146,0.6757892299240258,0.5075423118265165,0.05561502935112017,0.33873549335125863,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),uv,XGBoost,0.70194338950488,0.7075587334261568,0.5346530786602333,0.0056153439212768275,0.24535452025354806,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,LightGBM,0.8801094745966334,0.9103213471104239,1.3037030276173116,0.03021187251379054,0.935125231301793,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,CatBoost,0.8740790565182488,0.8937957227018781,1.3360885029463374,0.019716666183629328,0.848422918229878,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,RandomForest,0.876557380190926,0.7157265018390581,1.3228749948664007,0.16083087835186793,0.4730477611836048,Overfit Risk
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,XGBoost,0.8590182441388831,0.8854485639662256,1.4137339907763053,0.026430319827342563,0.40853021842299697,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,LightGBM,0.9739628523875934,0.9686070895545853,0.8268664410222558,0.005355762833008093,0.9646486928172818,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,CatBoost,0.97255985312815,0.9686903053725266,0.8488518105143291,0.003869547755623315,0.9112282854357873,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,XGBoost,0.9634323729952783,0.9686238964810364,0.9799119473300362,0.005191523485758132,0.7382621638310838,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,RandomForest,0.9425255843340111,0.7827138596630471,1.2285022204678127,0.15981172467096405,0.1,Overfit Risk
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,LightGBM,0.9718196553170003,0.9628471595011698,0.7755342773459757,0.008972495815830484,0.9925441346900692,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,CatBoost,0.9710485450469828,0.9636146260463152,0.7860732984615009,0.007433919000667588,0.9667142326462371,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,XGBoost,0.9592015477049335,0.9625140425842919,0.9331461990684448,0.003312494879358363,0.4817684977877261,Robust
Magura,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,RandomForest,0.9689536325750622,0.7877840946666951,0.814016566870411,0.1811695379083671,0.3443843753691592,Overfit Risk
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),temperature,LightGBM,0.9194711002318944,0.9334398869079106,1.0924234338213683,0.013968786676016198,0.9979177275522823,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),temperature,CatBoost,0.9173739819399838,0.9351232689983556,1.1065563551191746,0.017749287058371865,0.9388758523602682,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),temperature,XGBoost,0.9024222379039171,0.9265392347953169,1.2025151365058615,0.02411699689139979,0.5267714932814702,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),temperature,RandomForest,0.9079328918131349,0.7330144992873905,1.1680659821591997,0.17491839252574437,0.14338942223266077,Overfit Risk
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),humidity,RandomForest,0.4743938190296918,0.4558036226467273,5.37573265839934,0.018590196382964497,0.75,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),humidity,CatBoost,0.3454355999338222,0.5298115969277999,5.999065745141742,0.18437599699397766,0.525015160069727,Overfit Risk
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),humidity,LightGBM,0.3148227570534651,0.4748720630233766,6.13774577180389,0.16004930596991152,0.26739662381883766,Overfit Risk
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),humidity,XGBoost,0.25966402434282543,0.4763532926445274,6.380017319160252,0.216689268301702,0.06941708038026807,Overfit Risk
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),solar_radiation,LightGBM,0.6632645801564314,0.7286426237384295,20.048518529351483,0.06537804358199806,0.659930145005133,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),solar_radiation,CatBoost,0.6464984445589593,0.6713837377862548,20.541566062080086,0.02488529322729549,0.6486528118105505,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),solar_radiation,RandomForest,0.680539318357366,0.6135380718673595,19.527497596541174,0.0670012464900065,0.6019148278135488,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),solar_radiation,XGBoost,0.5789908974641488,0.5833710839753147,22.417316779557,0.0043801865111658955,0.2,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),uv,LightGBM,0.6993704107067853,0.7338902481191032,0.5357479378842357,0.0345198374123179,0.8576735518841982,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),uv,CatBoost,0.6802772144351064,0.6656408826881213,0.5524989288434073,0.014636331746985087,0.6704438019171179,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),uv,RandomForest,0.7120058894771751,0.6421091392552721,0.5243683247400616,0.069896750221903,0.6042252490253437,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),uv,XGBoost,0.6291899560176237,0.5926376196384664,0.5950046926708179,0.036552336379157335,0.12068100373825552,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),tmax,LightGBM,0.8890435436930273,0.8975469941697594,1.1349789130080554,0.008503450476732066,0.9956916184308596,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),tmax,CatBoost,0.8840115031817022,0.8894941231247426,1.1604300427390206,0.005482619943040445,0.9342129553971105,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),tmax,XGBoost,0.8608502889778322,0.8706075568937501,1.27102080124183,0.009757267915917911,0.5884071373657709,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),tmax,RandomForest,0.8469043236553186,0.7011912953692051,1.3331928218278117,0.14571302828611354,0.0,Overfit Risk
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),tmin,LightGBM,0.9388421936442686,0.9486557709063319,1.1063724194367721,0.009813577262063333,0.8941949623267209,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),tmin,CatBoost,0.9362510563527541,0.9491452731372023,1.1295667172467616,0.012894216784448242,0.8835318363707098,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),tmin,RandomForest,0.937210014731795,0.7555934299579639,1.1210386386896418,0.18161658477383114,0.4820439036365989,Overfit Risk
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),tmin,XGBoost,0.9278602769366595,0.9532452765694227,1.201607489073829,0.025384999632763194,0.4318729338953705,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),dew_point,LightGBM,0.9211923106612195,0.9420730698746314,1.2286114741889653,0.020880759213411815,0.9988041497544929,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),dew_point,CatBoost,0.914037588212321,0.9428433088866072,1.2831710882607266,0.028805720674286217,0.6135296406487935,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),dew_point,XGBoost,0.9125211452986792,0.9408887404103397,1.2944396702788041,0.028367595111660426,0.5333354623941909,Robust
Manikganj,2. Central Urban Heat Zone (Urban Heat-Island Region),dew_point,RandomForest,0.9125595052046275,0.7818200087556557,1.294155830093565,0.13073949644897176,0.0019683282565129767,Overfit Risk
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,LightGBM,0.9716911675547476,0.9622738871196604,0.7932980910486139,0.00941728043508716,0.9944222715737705,Robust
