zone_name,district,variable,month,value
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wet_bulb,6,28.09315476891925
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wet_bulb,7,27.715441657213752
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wet_bulb,8,27.35584767456096
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wet_bulb,9,27.43263132063675
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wet_bulb,10,26.30129438172459
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wet_bulb,11,21.99297237059379
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wet_bulb,12,18.125318455922457
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_shade,1,16.946133859356543
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_shade,2,20.11635562430612
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_shade,3,24.310077869450282
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_shade,4,27.862256676491835
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_shade,5,28.111533417441525
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_shade,6,28.7160132603547
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_shade,7,28.250960909955918
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_shade,8,27.882862358844854
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_shade,9,27.989115437179557
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_shade,10,26.93720350857392
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_shade,11,22.751794838408102
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_shade,12,18.844469280810614
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_sun,1,17.873309814820956
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_sun,2,21.180483699672752
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_sun,3,25.519110508825136
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_sun,4,29.17885117731959
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_sun,5,29.277227146825297
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_sun,6,29.666456398262696
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_sun,7,29.12312101316399
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_sun,8,28.644322163998694
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_sun,9,28.825285568772102
