zone_name,variable,month,mean,min,max
4. Coastal Humid Heat Zone (Coastal Belt),cdd,10,10.726073200682809,10.220909419085878,11.035004740491699
4. Coastal Humid Heat Zone (Coastal Belt),cdd,11,7.456184838716017,6.887584338779824,9.042599509014435
4. Coastal Humid Heat Zone (Coastal Belt),cdd,12,3.720012248961793,2.74930015099946,6.108153841419451
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,1,18.74896903789806,17.576584860844065,20.77551050736162
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,2,22.163614051220538,21.118923192782013,22.93123386336353
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,3,27.79067332118724,25.925893341683967,28.82125487510858
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,4,35.73348669081819,34.108015728694305,37.383551590144435
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,5,36.54000190673552,34.86249631205104,38.04655781587988
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,6,37.49079391298414,34.712774894827454,39.83167417986568
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,7,36.971187514274455,33.7701539379632,38.17300885413363
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,8,35.7889813815524,33.213339597499974,36.908244180988405
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,9,36.370561185988684,33.91511447507399,37.252323820131004
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,10,33.14746621166078,31.552240418917393,34.28160686394646
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,11,25.54663384605356,24.83890943566916,27.916323059863473
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,12,20.98114182838322,20.123254117198343,23.2781622326794
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,1,1.9396188520892442e-07,7.80291886729098e-08,5.854600587512995e-07
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,2,1.4605801675995896e-06,7.268738021236897e-07,2.2767932146876494e-06
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,3,0.0001262103586816091,1.501901891430412e-05,0.00023263052240039258
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,4,0.041176224421717755,0.01027580352253159,0.0929512894065073
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,5,0.0666255057839565,0.01640114898081665,0.13465381040935392
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,6,0.14092500526064117,0.01868931747921842,0.3239024359505641
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,7,0.08855022567374438,0.010407269160984636,0.144196806987835
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,8,0.04319435382220643,0.007350696225655986,0.07059146939729538
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,9,0.05881361806755385,0.011391129939465209,0.08621846340843362
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,10,0.007552588825047226,0.0020750921918858277,0.014309726003429616
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,11,3.154688821101206e-05,7.572883791783014e-06,0.00013155913027350943
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,12,8.238721763743017e-07,3.8818539634913757e-07,2.8329031503247556e-06
4. Coastal Humid Heat Zone (Coastal Belt),humidity,1,78.21791513037657,71.70448446786165,81.6913459985089
4. Coastal Humid Heat Zone (Coastal Belt),humidity,2,72.56493953050746,64.92228594846468,75.58341743498815
4. Coastal Humid Heat Zone (Coastal Belt),humidity,3,71.29800827744631,62.75250398621992,74.5536989130584
4. Coastal Humid Heat Zone (Coastal Belt),humidity,4,74.64394743939697,66.22270520111711,77.46629020513042
4. Coastal Humid Heat Zone (Coastal Belt),humidity,5,79.01966113058324,73.28513408628429,81.11434896074111
4. Coastal Humid Heat Zone (Coastal Belt),humidity,6,84.55701676185622,77.10016734555907,86.3182493135328
4. Coastal Humid Heat Zone (Coastal Belt),humidity,7,85.55714398857721,77.94271669567172,87.57574037850502
4. Coastal Humid Heat Zone (Coastal Belt),humidity,8,85.88789009902811,78.35529738247904,89.00202917919658
4. Coastal Humid Heat Zone (Coastal Belt),humidity,9,85.0320554675823,77.588178606826,86.6794263443145
4. Coastal Humid Heat Zone (Coastal Belt),humidity,10,83.00690183518579,74.60218266642408,84.81107172833711
4. Coastal Humid Heat Zone (Coastal Belt),humidity,11,78.99960047347388,70.93866455577407,81.75819023994542
4. Coastal Humid Heat Zone (Coastal Belt),humidity,12,79.35335586625821,72.4493779559584,82.67257635441644
4. Coastal Humid Heat Zone (Coastal Belt),temperature,1,18.773688008630717,17.625434084641114,20.74113862038214
4. Coastal Humid Heat Zone (Coastal Belt),temperature,2,22.012097542557125,21.02195975186629,22.775635165029787
4. Coastal Humid Heat Zone (Coastal Belt),temperature,3,26.377590139557157,25.43746844042463,26.853189993773157
4. Coastal Humid Heat Zone (Coastal Belt),temperature,4,29.812252369310016,29.31041368626632,30.14486111576553
4. Coastal Humid Heat Zone (Coastal Belt),temperature,5,29.704005205582696,29.13195650358428,30.115345053630264
4. Coastal Humid Heat Zone (Coastal Belt),temperature,6,29.527578690798236,28.51621760501918,30.169349740370762
4. Coastal Humid Heat Zone (Coastal Belt),temperature,7,29.286821966976436,28.104744948830618,29.569818006959533
4. Coastal Humid Heat Zone (Coastal Belt),temperature,8,28.888856710989312,27.81110753536112,29.15903721614399
4. Coastal Humid Heat Zone (Coastal Belt),temperature,9,29.14489023022922,28.22554420352576,29.338482150238576
4. Coastal Humid Heat Zone (Coastal Belt),temperature,10,28.205332767916,27.739975543085606,28.759968476215004
4. Coastal Humid Heat Zone (Coastal Belt),temperature,11,24.80299256596505,24.237200500620467,26.263397440629262
4. Coastal Humid Heat Zone (Coastal Belt),temperature,12,20.775983618876598,19.917296122373457,23.028066290349937
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,1,16.923010705609936,16.102031292340143,18.364976068957233
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,2,19.5465895187582,18.75252857486794,20.11635562430612
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,3,23.59842764850176,22.8062913156813,24.310077869450282
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,4,27.23810363028599,26.48035582442408,27.862256676491835
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,5,27.599450579727936,26.90531295863279,28.111533417441525
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,6,28.005272646260003,27.193545347461107,28.7160132603547
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,7,27.87207362147327,26.915395832315188,28.26208967227504
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,8,27.515006876472235,26.76841490557255,27.891467988467063
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,9,27.678973738253006,26.94002427036679,27.989115437179557
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,10,26.55187314488432,25.603446520033838,26.93720350857392
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,11,22.83881687469818,22.434804311654958,23.83764872395447
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,12,18.96243889600101,18.422068204479427,20.509819715089684
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,1,17.891014327168183,17.068210642148088,19.352119300235277
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,2,20.625774877972596,19.823206834084296,21.180483699672752
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,3,24.821915304823982,24.010998189439132,25.519110508825136
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,4,28.504970288626545,27.705752136127845,29.17885117731959
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,5,28.757882262243317,28.024418278074755,29.277227146825297
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,6,28.911865756623683,28.03406101828995,29.666456398262696
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,7,28.748263981436423,27.717953678179537,29.1317279013102
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,8,28.32320186703791,27.428469994947772,28.663494192379282
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,9,28.566928942632213,27.79083452837161,28.868333168278284
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,10,27.46534351395971,26.51315216617978,27.856814689391612
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,11,23.761820861254403,23.351356071227084,24.794314660306732
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,12,19.813619012822652,19.25730542710774,21.378787675409185
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,1,16.1298632900296,15.449144381354014,17.34662068977513
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,2,18.489943222844374,17.595804142255282,19.173987770627264
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,3,22.40735800947802,21.297010230093008,23.253542723107465
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,4,26.134897027847128,24.981008353107406,26.883997631088825
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,5,26.697498597218754,25.74377628154521,27.252757001932068
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,6,27.35285577002933,26.24528536111183,28.09315476891925
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,7,27.265752901971915,26.24632472753821,27.715441657213752
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,8,26.92621409025063,25.93239364969662,27.35584767456096
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,9,27.050723813120346,26.017855405624033,27.43263132063675
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,10,25.843247592156455,24.52696366076788,26.30129438172459
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,11,21.997027292726663,21.251996964880078,22.798042131093844
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,12,18.185205443340045,17.692757117607595,19.430571182835287
5. Haor or Wetland Humid Zone (Haor Basin),cdd,1,0.22665976570471713,0.0,0.7033463330769987
5. Haor or Wetland Humid Zone (Haor Basin),cdd,2,1.9527023585315955,0.37254321324601847,3.122399519386457
5. Haor or Wetland Humid Zone (Haor Basin),cdd,3,6.114114108175585,4.403078252529841,7.406932543695044
5. Haor or Wetland Humid Zone (Haor Basin),cdd,4,8.927033008791131,6.692861182430345,11.320945737775444
5. Haor or Wetland Humid Zone (Haor Basin),cdd,5,9.54462351619817,7.645769741284848,11.38921238806569
5. Haor or Wetland Humid Zone (Haor Basin),cdd,6,9.778378414166905,7.94951686319315,11.33441942473223
5. Haor or Wetland Humid Zone (Haor Basin),cdd,7,10.463298604386228,8.643561134534842,11.825600800752593
5. Haor or Wetland Humid Zone (Haor Basin),cdd,8,10.314449727629103,8.71818216156046,11.477378561073165
5. Haor or Wetland Humid Zone (Haor Basin),cdd,9,10.643158960350538,9.06341299462283,11.75523718619084
5. Haor or Wetland Humid Zone (Haor Basin),cdd,10,8.500026884775307,6.5920146369692745,9.917517493988294
5. Haor or Wetland Humid Zone (Haor Basin),cdd,11,5.860650861303405,4.800873228596021,6.497553263760263
5. Haor or Wetland Humid Zone (Haor Basin),cdd,12,1.8236232630592313,0.6163059904276302,2.7928036984680595
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,1,17.382415439498278,16.747681920537605,17.902607505688547
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,2,19.985903858025626,18.945731189677417,20.693544586349063
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,3,24.301012296378982,22.97611537205232,25.531937488453664
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,4,29.956985551949096,26.50164407887444,33.74562318665812
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,5,31.824303438303012,28.688877221678545,34.92923541743414
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,6,32.99744657443004,30.101621770619133,35.4698934898709
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,7,35.28002668661754,32.39532358617858,37.39740984948011
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,8,34.739078279380934,32.442991383880056,36.17269907762011
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,9,35.30047061170204,32.90300852602302,36.64740024468388
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,10,30.09063787562929,27.65381809665481,31.68769666810939
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,11,24.093543247975177,23.194806554916106,24.649098941312047
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,12,19.80508107153344,19.14150466969506,20.17820484569895
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,1,7.133972564225861e-08,4.62885208761536e-08,9.582174929763913e-08
