district,variable,kind,n_months,val_R2,val_RMSE,val_MAE,val_acc_0.5,val_acc_1.0,val_acc_2.0,val_acc_3.0,val_acc_5.0,val_acc_10.0,val_acc_20.0,val_acc_30.0,val_acc_50.0,val_acc_1.5,zone
Faridpur,wet_bulb,index,11,0.9681837620170315,0.6394670152892378,0.5757863617057727,0.36363636363636365,1.0,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Faridpur,wbgt_shade,index,11,0.9740446441632932,0.5463860274522492,0.464854817872159,0.6363636363636364,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Faridpur,wbgt_sun,index,11,0.9680926867852511,0.600565503901672,0.5105226892540867,0.45454545454545453,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Faridpur,cdd,index,11,0.958274477370316,0.6519590017234543,0.5458448381811656,0.36363636363636365,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Feni,heat_index,index,11,0.9525299663379795,1.1690085629899531,1.010104802949997,0.18181818181818182,0.5454545454545454,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Feni,wet_bulb,index,11,0.9706880227107324,0.5802800863888322,0.467537626147494,0.45454545454545453,0.9090909090909091,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Feni,wbgt_shade,index,11,0.9688400300584159,0.5771920520718333,0.4848533216185661,0.45454545454545453,1.0,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Feni,wbgt_sun,index,11,0.966026190368726,0.5961111547752802,0.5205633034502859,0.36363636363636365,1.0,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Feni,cdd,index,11,0.9627977057299854,0.5662549471219256,0.512076120783627,0.45454545454545453,1.0,1.0,1.0,,,,,,,4. Coastal Humid Heat Zone (Coastal Belt)
Gaibandha,heat_index,index,11,0.9684493581361255,1.209936681009337,1.029786666321383,0.36363636363636365,0.45454545454545453,0.9090909090909091,1.0,,,,,,,1. Northwest Extreme Heat Zone (Dry Hot Plains)
Gaibandha,wet_bulb,index,11,0.9795188018925505,0.5781167655405905,0.4837225888232565,0.6363636363636364,0.9090909090909091,1.0,1.0,,,,,,,1. Northwest Extreme Heat Zone (Dry Hot Plains)
Gaibandha,wbgt_shade,index,11,0.9786006931194923,0.5806221379361034,0.4904950269053207,0.6363636363636364,0.9090909090909091,1.0,1.0,,,,,,,1. Northwest Extreme Heat Zone (Dry Hot Plains)
